harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat
Does not apply (i do not have a job/superior/co-worker),NA,NA,13,Slghtly conservative,NA,NA,NA,Retired
No,30,0,19,Moderate,NA,No,No,Retired
NA,0,2,17,Liberal,Agree,NA,NA,Retired
NA,0,0,13,Moderate,Strongly agree,NA,NA,Working parttime
NA,0,20,17,Moderate,Strongly agree,NA,NA,Working fulltime
No,45,0,16,Liberal,NA,No,No,Working parttime
NA,0,15,16,Moderate,Strongly agree,NA,NA,Working fulltime
Yes,NA,NA,15,Slghtly conservative,NA,Yes,Yes,Working fulltime
NA,0,25,16,Moderate,Strongly agree,NA,NA,Working fulltime
No,NA,NA,20,Slghtly conservative,NA,No,No,Temp not working
NA,0,8,14,Slightly liberal,Disagree,NA,NA,Working fulltime
No,NA,NA,16,Liberal,NA,No,No,Working fulltime
No,0,25,15,Moderate,NA,No,No,Working parttime
NA,0,5,14,Slghtly conservative,Agree,NA,NA,Working fulltime
NA,0,2,12,Slghtly conservative,Agree,No,Yes,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,0,1,15,Slightly liberal,Agree,NA,NA,Retired
Does not apply (i do not have a job/superior/co-worker),NA,NA,20,Moderate,NA,No,No,Retired
NA,30,0,16,Slghtly conservative,Agree,NA,NA,Retired
NA,NA,NA,12,Conservative,Agree,NA,NA,Retired
No,NA,NA,12,Slightly liberal,NA,NA,NA,Retired
NA,0,4,14,Conservative,Dont know,No,No,Keeping house
No,10,0,14,Liberal,NA,No,No,Working parttime
No,0,10,18,Liberal,NA,NA,NA,Working fulltime
NA,0,10,16,Moderate,Strongly agree,NA,NA,Working fulltime
NA,NA,NA,8,Liberal,Agree,NA,NA,Retired
NA,0,12,13,Moderate,Agree,NA,NA,Working parttime
Yes,NA,NA,13,Moderate,NA,Yes,No,Working fulltime
Yes,0,0,13,Slightly liberal,NA,No,No,School
NA,0,2,10,Liberal,Disagree,No,No,Other
NA,0,1,11,Moderate,Agree,NA,NA,Retired
No,0,10,12,Moderate,NA,No,No,Working fulltime
Yes,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,NA,NA,9,Moderate,Disagree,NA,NA,Retired
No,NA,NA,10,Moderate,NA,No,No,Retired
No,0,1,16,Conservative,NA,Yes,Yes,Temp not working
NA,0,2,13,Conservative,Strongly agree,NA,NA,Working parttime
NA,0,0,17,Moderate,Agree,No,No,Working fulltime
Yes,0,3,20,Liberal,NA,No,No,Keeping house
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
NA,0,1,12,Slghtly conservative,Agree,NA,NA,Keeping house
No,NA,NA,13,Moderate,NA,No,No,Working fulltime
No,NA,NA,14,Slightly liberal,NA,No,Yes,Keeping house
NA,0,5,18,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
Yes,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,0,1,12,Slightly liberal,Agree,No,Yes,Keeping house
NA,0,20,17,Slghtly conservative,Strongly agree,NA,NA,Retired
No,10,1,16,Slightly liberal,NA,No,No,Working fulltime
NA,0,5,12,Moderate,Agree,NA,NA,School
NA,0,20,12,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,14,Extremely liberal,NA,Yes,No,Working fulltime
No,NA,NA,12,Conservative,NA,No,No,Working fulltime
NA,0,0,13,Moderate,Agree,NA,NA,Working fulltime
No,0,30,20,Liberal,NA,No,No,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,0,1,11,Liberal,Strongly agree,Yes,Yes,Working parttime
No,NA,NA,9,Moderate,NA,No,No,Keeping house
NA,0,0,12,Moderate,Strongly agree,NA,NA,Working fulltime
No,NA,NA,9,Liberal,NA,NA,NA,Other
NA,0,0,13,Moderate,Strongly agree,NA,NA,Keeping house
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
NA,0,30,17,Moderate,Agree,NA,NA,Working fulltime
NA,0,10,18,Moderate,Agree,NA,NA,Working fulltime
NA,0,7,17,Slghtly conservative,Disagree,NA,NA,Working fulltime
NA,0,40,17,NA,Strongly agree,NA,NA,Working fulltime
No,0,1,14,Moderate,NA,NA,NA,Working fulltime
Yes,NA,NA,16,Liberal,NA,No,No,Retired
No,0,1,16,Moderate,NA,No,No,Working fulltime
No,NA,NA,13,Slghtly conservative,NA,NA,NA,Working parttime
NA,NA,NA,10,Extrmly conservative,Strongly agree,NA,NA,Keeping house
No,NA,NA,12,Moderate,NA,NA,NA,Other
No,NA,NA,14,Liberal,NA,No,No,Working fulltime
NA,0,40,14,NA,Agree,NA,NA,Working fulltime
No,NA,NA,8,Liberal,NA,NA,NA,Keeping house
No,NA,NA,13,Moderate,NA,NA,NA,Working parttime
NA,0,35,12,NA,Disagree,NA,NA,Keeping house
No,NA,NA,16,Slightly liberal,NA,No,No,Working fulltime
NA,0,2,14,Moderate,Agree,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Liberal,NA,NA,NA,Retired
NA,NA,NA,12,Liberal,Disagree,NA,NA,Other
NA,NA,NA,12,Liberal,Agree,NA,NA,Working parttime
No,NA,NA,12,NA,NA,No,No,"Unempl, laid off"
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Extrmly conservative,NA,NA,NA,Keeping house
NA,NA,NA,12,NA,Agree,NA,NA,Other
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Moderate,NA,NA,NA,"Unempl, laid off"
NA,0,2,12,Moderate,Agree,NA,NA,Working fulltime
No,0,0,12,Liberal,NA,NA,NA,Keeping house
NA,0,1,12,Moderate,Disagree,NA,NA,Working parttime
Yes,NA,NA,12,Slightly liberal,NA,NA,NA,Other
NA,0,0,12,Moderate,Strongly agree,NA,NA,Working parttime
NA,30,0,16,Conservative,Agree,NA,NA,Working fulltime
No,30,0,15,Slghtly conservative,NA,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,No,Working fulltime
NA,30,0,14,Moderate,Strongly agree,NA,NA,Keeping house
Yes,NA,NA,15,Liberal,NA,NA,NA,Keeping house
Does not apply (i do not have a job/superior/co-worker),NA,NA,10,Conservative,NA,NA,NA,"Unempl, laid off"
NA,NA,NA,12,NA,NA,NA,NA,Keeping house
No,0,1,19,Moderate,NA,No,No,Working fulltime
NA,0,1,13,Moderate,Strongly agree,NA,NA,Working parttime
Yes,NA,NA,14,Slightly liberal,NA,No,No,Working fulltime
NA,0,3,12,Moderate,Agree,Yes,No,Working parttime
NA,NA,NA,16,Extrmly conservative,Strongly agree,NA,NA,Working parttime
NA,NA,NA,12,Slghtly conservative,Disagree,NA,NA,Keeping house
NA,0,12,12,Moderate,Strongly agree,NA,NA,Working fulltime
Yes,30,0,14,Slghtly conservative,NA,NA,NA,Working parttime
No,NA,NA,19,Liberal,NA,No,Yes,Working fulltime
NA,0,5,16,Liberal,Strongly agree,No,No,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,"Unempl, laid off"
NA,0,30,13,Moderate,Strongly agree,NA,NA,Working fulltime
No,NA,NA,13,Moderate,NA,No,No,"Unempl, laid off"
No,NA,NA,16,Moderate,NA,No,Yes,Working fulltime
No,NA,NA,14,Liberal,NA,No,No,Retired
NA,30,0,12,Moderate,Disagree,NA,NA,"Unempl, laid off"
Yes,NA,NA,12,Moderate,NA,NA,NA,Retired
Does not apply (i do not have a job/superior/co-worker),NA,NA,6,Moderate,NA,NA,NA,Retired
NA,0,3,11,Slightly liberal,Agree,NA,NA,Working fulltime
No,0,3,12,Conservative,NA,NA,NA,Retired
NA,0,30,12,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,16,Conservative,NA,Yes,Yes,Keeping house
NA,0,15,17,NA,Agree,Yes,Yes,"Unempl, laid off"
NA,0,10,17,Moderate,Strongly agree,NA,NA,Working fulltime
NA,0,4,12,Moderate,Agree,NA,NA,"Unempl, laid off"
Yes,NA,NA,8,Moderate,NA,NA,NA,Working fulltime
NA,0,4,12,Moderate,Agree,NA,NA,Retired
No,NA,NA,14,Slightly liberal,NA,No,Yes,Working fulltime
NA,0,0,16,Conservative,Agree,NA,NA,Retired
Yes,0,1,12,Slghtly conservative,NA,No,No,Working fulltime
NA,30,0,20,Moderate,Agree,NA,NA,Working fulltime
NA,0,1,16,Conservative,Agree,No,No,Working fulltime
NA,0,6,18,Liberal,Agree,NA,NA,Retired
No,NA,NA,17,Slghtly conservative,NA,No,No,Working parttime
Yes,0,15,19,Liberal,NA,No,No,Working fulltime
NA,0,1,11,Extremely liberal,Agree,NA,NA,Working fulltime
NA,0,5,20,Liberal,Agree,No,No,Temp not working
NA,0,1,16,Moderate,Disagree,NA,NA,"Unempl, laid off"
No,NA,NA,12,Liberal,NA,Yes,Yes,Working parttime
Yes,0,2,15,Moderate,NA,No,No,Working fulltime
NA,0,15,16,Slghtly conservative,Strongly agree,NA,NA,Temp not working
No,NA,NA,12,Conservative,NA,No,No,"Unempl, laid off"
No,0,4,15,Slghtly conservative,NA,No,No,Working fulltime
NA,0,47,12,Slightly liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,Yes,Yes,Working fulltime
NA,0,40,10,Moderate,Disagree,Yes,No,Working fulltime
No,NA,NA,18,Extremely liberal,NA,No,No,Working parttime
Yes,0,8,17,Slghtly conservative,NA,No,No,Working fulltime
NA,30,0,14,Moderate,Strongly agree,Yes,Yes,Working parttime
NA,30,1,14,NA,Agree,NA,NA,Working fulltime
No,NA,NA,17,Moderate,NA,No,No,Working parttime
No,0,12,19,Conservative,NA,Yes,No,Working fulltime
NA,0,8,18,Extremely liberal,Strongly agree,NA,NA,"Unempl, laid off"
NA,0,20,17,Liberal,Agree,No,No,Working fulltime
NA,0,1,16,Slghtly conservative,Agree,NA,NA,Working fulltime
No,0,2,16,Extremely liberal,NA,No,Yes,Working parttime
No,NA,NA,20,Slghtly conservative,NA,No,No,Working fulltime
NA,0,10,20,Slightly liberal,Agree,No,No,Working fulltime
No,0,15,13,Moderate,NA,No,No,Retired
NA,0,20,18,Slghtly conservative,Strongly agree,No,Yes,Working fulltime
NA,0,15,16,Moderate,Agree,NA,NA,Working fulltime
Yes,NA,NA,17,Extremely liberal,NA,NA,NA,Working fulltime
NA,0,10,17,Moderate,Strongly agree,Yes,Yes,Working fulltime
No,NA,NA,19,Liberal,NA,No,Yes,Working parttime
Yes,0,5,16,Liberal,NA,No,No,Working fulltime
NA,0,1,16,Liberal,Agree,NA,NA,Working fulltime
NA,0,1,20,Liberal,Agree,NA,NA,Retired
No,0,2,13,Liberal,NA,Yes,No,Working parttime
NA,0,2,12,Extrmly conservative,Disagree,NA,NA,Working fulltime
NA,0,2,16,Moderate,Strongly agree,No,No,Retired
No,NA,NA,12,Moderate,NA,Yes,No,Working parttime
NA,0,15,16,Conservative,Agree,NA,NA,Working fulltime
Yes,NA,NA,14,Conservative,NA,NA,NA,Working fulltime
NA,30,1,16,Slightly liberal,Disagree,NA,NA,Working fulltime
No,30,8,19,Moderate,NA,No,No,Working fulltime
NA,0,1,16,Moderate,Agree,NA,NA,Retired
No,NA,NA,16,Slightly liberal,NA,No,Yes,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,0,17,17,Extremely liberal,Strongly agree,NA,NA,Working parttime
Does not apply (i do not have a job/superior/co-worker),0,2,15,Extremely liberal,NA,NA,NA,Retired
No,NA,NA,13,Liberal,NA,No,No,Retired
NA,0,2,16,Conservative,Agree,NA,NA,Retired
No,NA,NA,16,Moderate,NA,NA,NA,Working fulltime
No,0,30,16,Liberal,NA,No,No,Working fulltime
NA,0,0,14,Moderate,Strongly agree,NA,NA,Retired
No,NA,NA,12,Conservative,NA,Yes,Yes,Working fulltime
NA,0,7,12,Moderate,Agree,NA,NA,Working parttime
Yes,0,10,18,Liberal,NA,No,No,Working fulltime
NA,0,1,12,Liberal,Agree,NA,NA,Working parttime
Yes,NA,NA,12,Extremely liberal,NA,NA,NA,"Unempl, laid off"
No,NA,NA,14,Moderate,NA,No,No,School
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
NA,0,0,9,Moderate,Strongly agree,NA,NA,"Unempl, laid off"
No,NA,NA,15,Liberal,NA,Yes,Yes,"Unempl, laid off"
Yes,NA,NA,13,Moderate,NA,No,No,Working fulltime
NA,0,2,14,Moderate,Disagree,NA,NA,Working fulltime
Yes,NA,NA,13,Liberal,NA,No,No,Working fulltime
NA,0,8,12,Conservative,Strongly agree,NA,NA,Working fulltime
NA,0,0,9,Moderate,Strongly agree,NA,NA,Retired
NA,0,2,16,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Other
No,0,0,11,Extrmly conservative,NA,NA,NA,Keeping house
No,NA,NA,10,Slghtly conservative,NA,NA,NA,Retired
NA,NA,NA,11,Slightly liberal,Agree,NA,NA,Working fulltime
NA,NA,NA,13,Moderate,Disagree,NA,NA,Working fulltime
NA,0,1,14,Moderate,Strongly agree,NA,NA,Working fulltime
NA,0,2,13,Moderate,Agree,No,No,Working fulltime
NA,30,0,16,Moderate,Agree,NA,NA,Working fulltime
NA,0,40,16,Conservative,Strongly agree,NA,NA,Retired
No,NA,NA,12,Slightly liberal,NA,NA,NA,Retired
NA,0,0,9,Moderate,Disagree,NA,NA,Keeping house
No,NA,NA,8,Conservative,NA,No,No,Working fulltime
No,0,1,12,Moderate,NA,No,No,Working parttime
NA,20,0,13,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,18,Liberal,NA,No,No,Working fulltime
NA,30,0,20,Liberal,Strongly agree,NA,NA,Retired
No,NA,NA,11,Slghtly conservative,NA,No,Yes,Working fulltime
NA,0,2,12,Slightly liberal,Agree,NA,NA,Working fulltime
No,0,0,11,Moderate,NA,No,No,Temp not working
NA,0,1,12,Conservative,Disagree,No,No,Keeping house
No,NA,NA,14,Liberal,NA,NA,NA,Working fulltime
Yes,0,15,12,Slghtly conservative,NA,NA,NA,Working fulltime
No,NA,NA,12,Slghtly conservative,NA,No,No,Working fulltime
NA,0,1,15,Moderate,Disagree,No,No,Working parttime
NA,30,9,19,Liberal,Agree,NA,NA,Retired
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
No,0,3,20,Conservative,NA,No,No,Retired
NA,10,0,12,Slghtly conservative,Strongly agree,NA,NA,Keeping house
NA,30,0,12,Extrmly conservative,Strongly agree,NA,NA,Retired
No,NA,NA,13,Conservative,NA,No,No,Working fulltime
No,NA,NA,8,Extremely liberal,NA,NA,NA,Keeping house
No,0,5,12,Slghtly conservative,NA,No,No,Working fulltime
NA,0,2,12,NA,Strongly agree,NA,NA,Working fulltime
NA,0,1,13,Conservative,Agree,No,No,Keeping house
Does not apply (i do not have a job/superior/co-worker),NA,NA,16,Moderate,NA,No,No,Retired
No,30,1,15,Moderate,NA,NA,NA,Other
NA,0,0,12,Slghtly conservative,Agree,NA,NA,Retired
Yes,NA,NA,14,Moderate,NA,No,Yes,"Unempl, laid off"
No,NA,NA,18,Conservative,NA,No,No,Working parttime
No,NA,NA,13,Moderate,NA,No,No,Retired
Yes,NA,NA,16,Moderate,NA,Yes,Yes,Working fulltime
No,30,2,16,Liberal,NA,No,No,Working parttime
NA,0,7,16,Extremely liberal,Strongly agree,NA,NA,Temp not working
No,NA,NA,18,Conservative,NA,No,No,Temp not working
NA,0,2,15,Slghtly conservative,Agree,No,No,Retired
No,0,4,13,Extrmly conservative,NA,NA,NA,Retired
NA,0,0,15,Moderate,Agree,NA,NA,Retired
NA,0,20,14,Slightly liberal,Strongly agree,NA,NA,Working parttime
No,NA,NA,20,Extremely liberal,NA,No,Yes,Working fulltime
No,0,2,17,Slightly liberal,NA,Yes,Yes,School
NA,0,1,12,Liberal,Agree,NA,NA,School
No,NA,NA,11,Moderate,NA,No,No,Working parttime
NA,0,1,12,Liberal,Agree,No,Yes,Keeping house
NA,10,0,9,Liberal,Disagree,NA,NA,Working parttime
No,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,40,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,14,Slghtly conservative,NA,No,Yes,Working fulltime
NA,0,3,13,Moderate,Strongly agree,NA,NA,Working fulltime
NA,15,0,14,Slightly liberal,Agree,NA,NA,Retired
No,NA,NA,10,NA,NA,No,No,Working fulltime
No,0,1,12,Moderate,NA,Yes,Yes,Working parttime
NA,0,1,12,Moderate,Agree,NA,NA,Working fulltime
Yes,NA,NA,16,Moderate,NA,No,No,Working fulltime
NA,45,1,16,Extrmly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,11,Conservative,NA,NA,NA,Working fulltime
No,15,0,12,Moderate,NA,No,No,Keeping house
NA,20,0,14,Moderate,Strongly agree,NA,NA,Temp not working
No,NA,NA,9,Extrmly conservative,NA,NA,NA,Working parttime
Yes,0,1,12,Moderate,NA,No,Yes,Temp not working
NA,0,2,10,Moderate,Agree,NA,NA,Working parttime
No,NA,NA,10,Moderate,NA,No,No,Working fulltime
No,0,1,12,Conservative,NA,No,No,Working fulltime
No,NA,NA,17,Liberal,NA,No,Yes,Working fulltime
No,20,0,12,Moderate,NA,No,No,Working fulltime
NA,0,4,12,Conservative,Agree,NA,NA,Retired
NA,0,25,12,Slightly liberal,Agree,NA,NA,Working fulltime
No,NA,NA,13,Moderate,NA,Yes,No,Working fulltime
No,0,5,16,Moderate,NA,Yes,Yes,Working fulltime
Yes,NA,NA,7,Liberal,NA,NA,NA,Keeping house
NA,0,1,13,Moderate,Strongly agree,No,No,Working fulltime
No,NA,NA,12,Moderate,NA,No,No,"Unempl, laid off"
No,0,40,11,Moderate,NA,Yes,Yes,Working fulltime
NA,0,40,12,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,12,NA,NA,No,No,Working fulltime
NA,0,2,14,Conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Other
Yes,0,7,12,NA,NA,No,No,Working fulltime
NA,0,14,16,Extremely liberal,Agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,0,5,12,Extrmly conservative,Agree,No,No,Keeping house
NA,0,10,20,Extremely liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,No,No,"Unempl, laid off"
No,0,1,15,Moderate,NA,Yes,Yes,Working fulltime
Yes,NA,NA,16,Conservative,NA,No,No,Working fulltime
NA,0,2,16,Slghtly conservative,Disagree,No,Yes,Temp not working
NA,0,15,16,Slghtly conservative,Agree,NA,NA,Working fulltime
Yes,NA,NA,7,Extremely liberal,NA,NA,NA,Working fulltime
No,NA,NA,19,Slightly liberal,NA,No,Yes,Working fulltime
NA,0,1,11,Moderate,Agree,NA,NA,Retired
No,NA,NA,16,Moderate,NA,No,No,Keeping house
NA,5,0,13,Liberal,Strongly agree,NA,NA,Working fulltime
NA,0,0,16,Extrmly conservative,Agree,NA,NA,Retired
NA,0,12,17,Extremely liberal,Agree,NA,NA,"Unempl, laid off"
NA,0,6,11,Slightly liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,14,Moderate,NA,No,No,Retired
NA,0,1,12,Conservative,Agree,NA,NA,Retired
No,NA,NA,6,Slghtly conservative,NA,NA,NA,Keeping house
No,0,15,13,Slightly liberal,NA,No,No,Retired
NA,0,0,15,Liberal,Agree,No,No,Retired
No,NA,NA,12,Moderate,NA,NA,NA,Retired
Yes,NA,NA,18,Moderate,NA,Yes,Yes,"Unempl, laid off"
NA,NA,NA,6,NA,Agree,NA,NA,Retired
No,NA,NA,15,Moderate,NA,Yes,No,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,15,Slghtly conservative,NA,No,No,Retired
NA,10,0,15,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
No,0,1,12,Conservative,NA,No,No,Working fulltime
Yes,NA,NA,15,Slghtly conservative,NA,No,Yes,Working fulltime
No,0,8,15,Liberal,NA,No,No,Working fulltime
NA,0,14,12,Slghtly conservative,Agree,NA,NA,Working fulltime
Yes,NA,NA,12,Slghtly conservative,NA,No,No,Working fulltime
Yes,NA,NA,20,Liberal,NA,No,No,Working fulltime
NA,0,10,16,Moderate,Agree,NA,NA,Working fulltime
Yes,NA,NA,16,Conservative,NA,Yes,Yes,Working parttime
NA,30,1,11,Slightly liberal,Agree,NA,NA,"Unempl, laid off"
No,NA,NA,16,Extrmly conservative,NA,No,Yes,Working fulltime
No,NA,NA,16,Slghtly conservative,NA,No,No,Working parttime
Yes,NA,NA,16,Liberal,NA,No,No,Other
Yes,15,0,14,Moderate,NA,No,No,Working fulltime
No,NA,NA,17,Slightly liberal,NA,No,No,Retired
No,0,2,16,Slghtly conservative,NA,No,No,Working fulltime
NA,1,0,7,NA,Strongly agree,NA,NA,Retired
No,NA,NA,18,Conservative,NA,No,Yes,Working parttime
No,5,0,12,Slghtly conservative,NA,No,No,Retired
NA,30,0,12,Moderate,Agree,NA,NA,Working fulltime
NA,0,0,16,Slghtly conservative,Disagree,NA,NA,Retired
NA,0,20,14,Moderate,Agree,No,No,Working fulltime
No,0,0,12,Slightly liberal,NA,NA,NA,Working fulltime
No,NA,NA,14,Moderate,NA,No,No,Retired
NA,NA,NA,12,Conservative,Disagree,NA,NA,Working fulltime
NA,0,10,13,Liberal,Strongly agree,NA,NA,Retired
No,10,0,11,Moderate,NA,No,No,Working fulltime
NA,NA,NA,12,Conservative,Disagree,NA,NA,Retired
No,0,0,14,Liberal,NA,No,No,"Unempl, laid off"
NA,0,25,19,Slghtly conservative,Agree,NA,NA,Working fulltime
NA,0,6,12,Slightly liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,17,Moderate,NA,NA,NA,Working parttime
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Working fulltime
No,0,0,16,Conservative,NA,NA,NA,Retired
NA,0,20,14,Moderate,Agree,NA,NA,Working fulltime
NA,0,2,20,Slghtly conservative,Agree,No,Yes,Working fulltime
No,NA,NA,12,Slghtly conservative,NA,No,No,Working parttime
Yes,1,0,18,Liberal,NA,No,No,Working fulltime
Yes,NA,NA,14,Liberal,NA,No,No,Retired
NA,0,1,12,NA,Agree,Yes,No,"Unempl, laid off"
No,NA,NA,16,Conservative,NA,Yes,Yes,Working fulltime
No,0,1,14,Moderate,NA,Yes,Yes,Working parttime
Does not apply (i do not have a job/superior/co-worker),NA,NA,9,NA,NA,NA,NA,Retired
No,0,0,12,Slghtly conservative,NA,No,No,Retired
No,NA,NA,12,Liberal,NA,No,No,Working fulltime
NA,30,1,12,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,Yes,Working fulltime
No,NA,NA,14,Slghtly conservative,NA,No,No,Working fulltime
No,0,1,16,Slghtly conservative,NA,No,No,Working fulltime
NA,0,1,13,Conservative,Disagree,NA,NA,Working parttime
NA,0,35,16,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,No,Keeping house
No,0,2,12,Moderate,NA,No,No,Working fulltime
No,NA,NA,20,Moderate,NA,Yes,No,Working fulltime
NA,0,20,16,Liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,Yes,Working fulltime
No,NA,NA,16,Moderate,NA,No,Yes,Working fulltime
No,30,1,13,Moderate,NA,Yes,Yes,Working parttime
Yes,NA,NA,12,Conservative,NA,NA,NA,Working fulltime
No,NA,NA,20,Liberal,NA,No,Yes,Working fulltime
NA,0,10,16,Extremely liberal,Agree,No,Yes,Working fulltime
No,0,20,17,Slightly liberal,NA,Yes,Yes,Working fulltime
NA,0,1,19,Slghtly conservative,Agree,NA,NA,Keeping house
No,0,4,18,Extrmly conservative,NA,Yes,No,Working parttime
No,NA,NA,10,Slightly liberal,NA,NA,NA,Working fulltime
NA,45,0,11,Slghtly conservative,Disagree,NA,NA,Working fulltime
NA,0,25,14,Conservative,Strongly agree,No,No,Working fulltime
NA,0,3,16,Slghtly conservative,Agree,NA,NA,"Unempl, laid off"
No,0,35,12,Moderate,NA,No,No,Working fulltime
NA,0,0,12,Conservative,Disagree,NA,NA,Working fulltime
No,NA,NA,12,Extrmly conservative,NA,NA,NA,Other
NA,0,0,12,Moderate,Strongly agree,NA,NA,Keeping house
Yes,NA,NA,14,Extrmly conservative,NA,No,No,Working fulltime
NA,NA,NA,12,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Working parttime
NA,0,70,14,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,16,Conservative,NA,NA,NA,Retired
NA,0,1,16,Moderate,Disagree,Yes,Yes,School
No,NA,NA,12,Extremely liberal,NA,Yes,Yes,Working fulltime
Yes,0,1,12,Moderate,NA,No,No,Working fulltime
No,NA,NA,11,Liberal,NA,No,Yes,Working fulltime
NA,NA,NA,8,Slightly liberal,Agree,NA,NA,Retired
No,0,5,20,Liberal,NA,Yes,Yes,Temp not working
Yes,NA,NA,16,Liberal,NA,No,Yes,Working fulltime
NA,0,48,8,Moderate,Strongly agree,Yes,No,Retired
NA,NA,NA,13,Slightly liberal,Agree,NA,NA,Retired
No,NA,NA,11,Moderate,NA,NA,NA,Working fulltime
NA,0,0,8,Conservative,Agree,NA,NA,Keeping house
Does not apply (i do not have a job/superior/co-worker),NA,NA,14,Conservative,NA,Yes,Yes,Keeping house
No,0,1,12,Slghtly conservative,NA,NA,NA,Working parttime
NA,0,28,12,Moderate,Agree,NA,NA,Other
Yes,NA,NA,12,Moderate,NA,Yes,Yes,Working fulltime
NA,0,6,14,Moderate,Strongly agree,No,No,Working fulltime
NA,NA,NA,12,Slghtly conservative,Disagree,NA,NA,Retired
No,NA,NA,16,Moderate,NA,Yes,Yes,Working fulltime
NA,0,20,20,Slightly liberal,Strongly agree,No,No,Working fulltime
No,0,1,12,Extrmly conservative,NA,No,No,Retired
No,NA,NA,12,Conservative,NA,Yes,Yes,Working fulltime
No,NA,NA,14,Conservative,NA,NA,NA,Keeping house
No,0,0,6,Moderate,NA,NA,NA,Working fulltime
NA,0,0,13,Slightly liberal,Agree,NA,NA,Retired
NA,30,0,16,Conservative,Agree,NA,NA,Working fulltime
NA,0,20,13,Moderate,Agree,NA,NA,Working fulltime
Yes,NA,NA,14,Moderate,NA,NA,NA,Working parttime
NA,0,1,11,Moderate,Agree,NA,NA,Working parttime
No,NA,NA,12,Extremely liberal,NA,No,No,"Unempl, laid off"
NA,0,25,13,Liberal,Agree,No,No,Working parttime
NA,0,7,13,Moderate,Agree,NA,NA,Working fulltime
No,0,40,16,Slghtly conservative,NA,NA,NA,Working fulltime
Yes,0,1,16,Conservative,NA,No,Yes,Working fulltime
NA,0,1,16,Conservative,Agree,NA,NA,Keeping house
No,NA,NA,14,Moderate,NA,No,No,Working parttime
NA,0,2,19,Slghtly conservative,Agree,No,Yes,Working parttime
Yes,NA,NA,12,Moderate,NA,No,No,Working parttime
Yes,NA,NA,13,Extrmly conservative,NA,NA,NA,Retired
No,NA,NA,14,Liberal,NA,NA,NA,Retired
No,NA,NA,9,Moderate,NA,NA,NA,Working fulltime
NA,0,7,14,Liberal,Strongly agree,NA,NA,Working parttime
Does not apply (i do not have a job/superior/co-worker),NA,NA,6,Slightly liberal,NA,No,No,Retired
NA,NA,NA,12,Moderate,Strongly agree,NA,NA,Working parttime
NA,0,1,9,Slghtly conservative,Agree,NA,NA,Working parttime
No,NA,NA,9,Conservative,NA,No,Yes,Working fulltime
NA,0,3,12,Moderate,Strongly agree,NA,NA,Working fulltime
Yes,NA,NA,6,Moderate,NA,NA,NA,Working fulltime
NA,NA,NA,14,Moderate,Disagree,NA,NA,Working parttime
